case_id;start_time;end_time;creator;variant;variant_index;activity;resource
177191;2011-10-DD1708:07:54.754;2011-10-DD1708:15:55.1555;Fluxicon Disco; Variant 13;13; W_Completeren aanvraag;11201
177191;2011-10-DD1708:16:32.1632;2011-10-DD1708:16:44.1644;Fluxicon Disco; Variant 13;13; W_Nabellen offertes;11201
177191;2011-10-DD2416:27:17.2717;2011-10-DD2416:29:18.2918;Fluxicon Disco; Variant 13;13; W_Nabellen offertes;10881
177191;2011-10-DD2608:50:22.5022;2011-10-DD2608:51:33.5133;Fluxicon Disco; Variant 13;13; W_Nabellen offertes;NOT_SET
177191;2011-10-DD3110:00:03.03;2011-10-DD3110:11:26.1126;Fluxicon Disco; Variant 13;13; W_Valideren aanvraag;10138
177194;2011-10-DD1708:03:05.35;2011-10-DD1708:05:29.529;Fluxicon Disco; Variant 1239;1239; W_Afhandelen leads;10881
177194;2011-10-DD1710:53:23.5323;2011-10-DD1710:55:55.5555;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;NOT_SET
177194;2011-10-DD1717:07:31.731;2011-10-DD1717:09:23.923;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;11180
177194;2011-10-DD2116:13:37.1337;2011-10-DD2116:14:07.147;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;11203
177194;2011-10-DD2116:45:35.4535;2011-10-DD2116:45:48.4548;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;11203
177194;2011-10-DD2118:11:54.1154;2011-10-DD2118:12:01.121;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;11201
177194;2011-10-DD2119:16:05.165;2011-10-DD2119:17:01.171;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;11203
177194;2011-10-DD2214:18:53.1853;2011-10-DD2214:30:51.3051;Fluxicon Disco; Variant 1239;1239; W_Completeren aanvraag;NOT_SET
177194;2011-10-DD2214:31:11.3111;2011-10-DD2214:32:21.3221;Fluxicon Disco; Variant 1239;1239; W_Nabellen offertes;NOT_SET
177194;2011-10-DD2911:14:10.1410;2011-10-DD2911:19:48.1948;Fluxicon Disco; Variant 1239;1239; W_Nabellen offertes;11181
177194;2011-11-DD916:02:23.223;2011-11-DD916:02:53.253;Fluxicon Disco; Variant 1239;1239; W_Nabellen offertes;11259
