name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated\AcademicCredentials_SIMOD_0.csv,0.243532976,0.727042437,0.218940663,3.002545118,89.62611857,14.55666113,118.4139209,0.015621424,104.7839196,3.209322929,104.7839196,0.062473059,2.424815231,0.282058001,3.489477792,0,5.781040268,1.70513463,46.39116518,0.156237364,63.51005025,0.135438204
simulated\AcademicCredentials_SIMOD_1.csv,0.227495908,0.721716404,0.210827134,2.597275019,141.4256152,13.47529125,184.7095774,0.018883944,169.4422111,2.856176138,169.4422111,0.071277857,2.220958613,0.222517967,3.101983367,0.015759945,4.439597315,1.550814867,47.94894839,0.125,59.65577889,0.111706495
simulated\AcademicCredentials_SIMOD_2.csv,0.237012987,0.673335791,0.21953998,2.694747686,86.00810962,15.95524859,111.0666383,0.010990381,87.84422111,3.377829313,87.84422111,0.067994595,2.365509716,0.302470207,3.426653163,0.009053946,10.62863535,2.074823618,44.68903415,0.161165714,61.15075377,0.147535801
simulated\AcademicCredentials_SIMOD_3.csv,0.241616904,0.836642742,0.215972358,2.876360893,117.3610179,14.73761749,125.1691512,0.012037992,114.3015075,2.983863592,114.3015075,0.048982382,2.24507271,0.304420471,2.979128202,0.013118267,33.89793065,2.299124002,48.60228169,0.151658535,62.51507538,0.125078201
simulated\AcademicCredentials_SIMOD_4.csv,0.233557983,0.734144926,0.212485588,2.635688543,88.24300895,11.94836092,105.413656,0.015725851,109.6005025,2.670492172,109.6005025,0.046864271,2.16015691,0.245980263,3.249227743,0,11.31152125,1.692020655,48.78403385,0.218946457,62.51507538,0.125008583
simulated\AcademicCredentials_SIMOD_5.csv,0.23317757,0.684760094,0.210858676,2.688613892,67.98769575,12.85658908,96.27500818,0.017697573,90.5,2.633038044,90.5,0.067457676,2.310149704,0.2115798,3.143063997,0.016331196,6.259228188,1.590605259,49.54660393,0.144784451,61.01005025,0.125018835
simulated\AcademicCredentials_SIMOD_6.csv,0.248998822,0.737063169,0.223423394,2.629252672,81.18428412,11.73813939,114.4135148,0.010602951,109.1281407,3.312795639,109.1281407,0.046935797,2.195728512,0.245301723,3.242757421,0,2.826342282,1.651702166,50.28436163,0.124988079,66.24874372,0.178688765
simulated\AcademicCredentials_SIMOD_7.csv,0.236075507,0.779252052,0.21627392,2.907904148,65.16135347,12.84060478,89.31082583,0.015625238,87.93718593,2.755633593,87.93718593,0.056099892,2.176235281,0.243506432,2.838510463,0,7.525167785,1.690696239,48.16457058,0.127015591,62.44974874,0.111773968
simulated\AcademicCredentials_SIMOD_8.csv,0.235404017,0.800786495,0.210761238,2.988878489,77.41582774,13.67038894,103.9222842,0.015609264,109.8015075,2.762891531,109.8015075,0.062366724,2.132007971,0.243332148,2.932041326,0,4.291107383,1.61026001,44.94565754,0.140957355,58.48743719,0.125014067
simulated\AcademicCredentials_SIMOD_9.csv,0.221576378,0.806387424,0.205087033,2.852302074,102.7402125,14.57700014,124.4581216,0.015709162,120.4648241,2.82440114,120.4648241,0.046872377,1.953922791,0.265472174,2.721167701,0,12.61073826,1.625123262,52.58580483,0.124896765,64.7638191,0.144540787
