name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime,cfld,cfld_runtime
simulated\AcademicCredentials_ServiceMiner_1.csv,0.147322455,3.143823862,383.5785193,70.70977116,390.4823597,0.121788979,408.8115578,14.18340087,408.8115578,0.495470762,1.714890656,0.512654066,2.486485987,0.031379938,64.95457095,3.563272953,74.65789248,1.25483799,99.92713568,0.860438824,0.178136535,6.501093864
simulated\AcademicCredentials_ServiceMiner_6.csv,0.139229025,4.489751816,134.1497476,64.51546717,146.9939746,0.115226984,158.7311558,11.07410979,158.7311558,0.48580575,1.887871397,0.421940088,2.621367654,0.035696268,74.47139652,3.391293764,74.74540972,0.988083839,99.7839196,0.885658026,0.174021914,5.867321014
simulated\AcademicCredentials_ServiceMiner_3.csv,0.134115482,3.707777023,274.7938867,56.11404228,283.240141,0.224721909,285.5854271,11.215801,285.5854271,0.498693943,1.945615606,0.433306217,2.731218784,0.039886951,61.71031969,3.352190018,74.65316047,0.837335825,100.3442211,0.717627049,0.170679363,6.094449997
simulated\AcademicCredentials_ServiceMiner_9.csv,0.120567376,3.483932972,195.1632081,58.94114614,199.886166,0.112623215,208.9723618,11.93043399,208.9723618,0.474609852,1.115617431,0.376111984,1.999857538,0.0314219,74.41531127,3.460468769,74.47222153,0.769413233,99.71859296,0.723295927,0.161862929,5.973084927
simulated\AcademicCredentials_ServiceMiner_7.csv,0.127413127,4.199043989,326.2938867,60.48343611,345.9803679,0.112957001,370.0678392,12.22690892,370.0678392,0.48390007,1.815490519,0.451309919,2.971361645,0.033822298,74.73135165,3.767454863,74.93564341,0.827387095,100.2512563,0.705643177,0.175385238,5.752884865
simulated\AcademicCredentials_ServiceMiner_0.csv,0.123762376,3.509919882,602.397364,71.35456324,652.5114648,0.114620924,675.5125628,14.24292612,675.5125628,0.521535873,1.513465625,0.387585163,2.248275838,0.033894062,73.58496915,4.341449022,74.07432047,0.743139982,99.65577889,0.763804913,0.181678583,5.829655886
simulated\AcademicCredentials_ServiceMiner_5.csv,0.136697248,3.421502113,107.2431296,58.252491,108.1453231,0.286948681,113.7939698,12.21434188,113.7939698,0.554278851,1.775429798,0.3821311,3.076716587,0.032653809,72.54234436,3.853929043,74.39612939,0.786566019,99.70854271,0.774446011,0.170055125,5.86878705
simulated\AcademicCredentials_ServiceMiner_2.csv,0.130238846,3.627206802,363.6354459,51.77560401,395.6883784,0.117875814,400.4547739,11.65060401,400.4547739,0.483596087,1.391775019,0.386149883,2.649512676,0.032620192,73.78547392,3.397804022,74.23009947,0.733681917,99.75376884,0.690634966,0.175801756,6.129555941
simulated\AcademicCredentials_ServiceMiner_8.csv,0.143580304,3.160990953,203.1763881,52.45128918,211.5192085,0.113693953,224.7336683,11.45253611,224.7336683,0.476575136,1.728762647,0.393419981,2.249682282,0.032507181,60.60880538,3.249344826,74.37432381,0.76553297,100.5653266,0.687407017,0.194764311,5.727679253
simulated\AcademicCredentials_ServiceMiner_4.csv,0.137494346,3.149311066,391.2720135,60.8441751,424.364007,0.112408876,431.8643216,13.19082618,431.8643216,0.484518051,1.452207668,0.387203217,2.001628389,0.032113791,74.06674145,3.444574118,74.42243863,0.740389824,99.08040201,0.6952281,0.17340902,6.086342812
