name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated\BPIC_2012_SIMOD_0.csv,0.559526084,7.781072855,0.556155754,36.20054078,53.02224257,20.77535677,298.7723056,0.063803911,341.2594086,7.870330095,341.2594086,0.331512451,19.99424809,0.224506617,2.095512239,0.022281885,3.875619345,9.767208099,95.28295075,0.99022603,93.02620968,1.047109604
simulated\BPIC_2012_SIMOD_1.csv,0.56124466,7.00775528,0.555281677,35.48706651,53.04470056,21.667588,278.24188,0.121140242,305.9553091,9.542950869,305.9553091,0.465169191,21.5718458,0.285720587,2.006044914,0.020044565,2.765995261,9.737839937,96.87191113,1.227519035,94.62231183,0.849570036
simulated\BPIC_2012_SIMOD_2.csv,0.556057234,5.955494165,0.550791857,26.90395021,47.59225549,19.72182417,262.7762986,0.068970442,293.343078,8.124803305,293.343078,0.349605322,20.5262182,0.258870363,2.100303402,0.021085262,3.796558595,9.243673563,95.31853402,0.917573452,93.69321237,0.928459167
simulated\BPIC_2012_SIMOD_3.csv,0.558969838,5.942180395,0.550233233,28.54216623,34.48373546,17.34426618,199.7368585,0.066572428,208.5648522,6.467886209,208.5648522,0.330718994,20.66279057,0.221720219,2.091581515,0.021112442,6.70198729,11.26008916,101.4335384,0.8938272,94.31955645,0.894927025
simulated\BPIC_2012_SIMOD_4.csv,0.554752852,5.496865988,0.549430717,35.0969882,72.38781775,25.28965306,347.7132341,0.06250453,385.8797043,7.939488888,385.8797043,0.305276632,21.47338769,0.245124578,2.185337257,0.027079821,4.128473718,10.68216681,99.02507136,1.106127977,92.56787634,0.7870574
simulated\BPIC_2012_SIMOD_5.csv,0.561879297,4.770669937,0.558770212,25.36047721,82.26432572,21.81031871,381.7003913,0.062499046,400.1680108,8.230692625,400.1680108,0.31650424,20.60111988,0.194974422,2.275136245,0.016231537,3.875215424,9.946891069,95.66549466,0.852814913,91.34307796,0.795892477
simulated\BPIC_2012_SIMOD_6.csv,0.555272055,4.816033363,0.55340127,25.17420268,77.53775312,21.32462621,384.2141599,0.070989132,396.9099462,8.153622389,396.9099462,0.30333519,18.22556257,0.183607578,1.882006857,0.015672445,3.047151012,7.898445368,94.0726818,0.876892328,93.83736559,0.834849834
simulated\BPIC_2012_SIMOD_7.csv,0.554470611,4.771700621,0.55187819,24.51683116,74.64048363,25.05992079,357.1050514,0.063269854,369.328629,8.200200796,369.328629,0.304080248,20.89464844,0.193835974,2.085149439,0.015303612,2.923308919,7.906806231,96.61861015,0.851340771,94.27856183,0.813146114
simulated\BPIC_2012_SIMOD_8.csv,0.558652509,4.843994617,0.551529988,25.15186357,61.60076476,20.40482903,294.2913609,0.062479019,299.4778226,6.891161442,299.4778226,0.296945095,22.22206484,0.186573744,2.115416225,0.031450272,5.89086062,11.79157472,98.6810941,0.901906967,92.91196237,0.820404053
simulated\BPIC_2012_SIMOD_9.csv,0.557520429,4.893158913,0.552718066,26.05594063,59.07943774,18.45419812,328.4136175,0.063127041,363.2889785,7.500249863,363.2889785,0.307029486,19.35626425,0.219041109,2.137413252,0.015626669,2.847425679,9.441003799,95.24573632,0.910258293,93.87365591,0.829497337
