name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated\CallCentre_SIMOD_0.csv,0.081703372,439.361419,48.03192013,3.982164145,61.6988524,3.536912918,61.67622753,35.56863475,61.67622753,28.27508259,18.1241638,0.52055192,4.719279112,0.541237593,0.098928776,78.44523096,0.002003237,76.43305802,8.012196711,79.10321116
simulated\CallCentre_SIMOD_1.csv,0.081060663,482.4754894,48.19127454,5.913341045,61.87640491,3.787808657,61.67622753,34.14470053,61.67622753,31.0739069,18.14546674,0.549930334,4.7234689,0.457031012,0.099024421,82.22693729,0.002126179,81.88659954,8.048146729,95.29114485
simulated\CallCentre_SIMOD_2.csv,0.082529087,477.0965669,48.24430912,3.179839373,61.94128908,2.667435646,61.67621986,27.61140513,61.67621986,26.61665893,18.1728224,0.510235786,4.72073401,0.431075811,0.098750679,69.51489282,0.001852135,69.31245899,8.137168922,70.60629702
simulated\CallCentre_SIMOD_3.csv,0.08112881,417.7533088,48.08636521,3.21588707,61.71962547,2.620261192,61.67622753,27.44892311,61.67622753,26.64168429,18.20964646,0.458832979,4.728524118,0.411179304,0.098856218,68.25831079,0.00225317,68.75958228,8.396749588,70.34002161
simulated\CallCentre_SIMOD_4.csv,0.081419696,418.0757921,47.83410765,3.225315809,61.5762933,2.630252361,61.67622753,27.18784571,61.67622753,26.67508578,18.09861977,0.480861664,4.717380655,0.410493851,0.099367424,68.41600752,0.00172852,68.85761094,8.202629461,70.6440835
simulated\CallCentre_SIMOD_5.csv,0.081256778,417.1025786,48.2808477,3.173904657,61.78383572,2.65703702,61.67622753,27.38327384,61.67622753,26.53351688,18.23175273,0.482634783,4.722283356,0.422302485,0.097423742,68.4192853,0.001876583,68.6316483,8.224669401,70.29925179
simulated\CallCentre_SIMOD_6.csv,0.08122238,417.6769836,48.00964915,3.159806728,61.69512302,2.704922676,61.67622753,27.23005581,61.67622753,26.57951331,18.14016519,0.452717781,4.715887744,0.410960674,0.098867212,68.18486118,0.001762526,68.84280372,8.285583963,70.34710741
simulated\CallCentre_SIMOD_7.csv,0.081881695,417.452384,48.14031446,3.157504559,61.8540417,2.601589918,61.67622753,27.18948984,61.67622753,26.48581409,18.15350038,0.46023345,4.727025456,0.406166553,0.09900903,68.70114779,0.001873465,68.87570238,8.116746522,70.67071342
simulated\CallCentre_SIMOD_8.csv,0.081990014,418.1280468,48.15458095,3.179539204,61.70408068,2.577648401,61.6762237,27.19830585,61.6762237,26.59168339,18.154465,0.439870119,4.731328578,0.407278776,0.097921756,68.21437764,0.001876678,68.55881333,8.105331749,70.76299906
simulated\CallCentre_SIMOD_9.csv,0.080799197,417.7499659,48.35844655,3.172974825,61.70679095,2.691486597,61.67622753,27.29443312,61.67622753,26.54202485,18.27518152,0.470028877,4.724023364,0.437740803,0.096626701,68.21597815,0.002227016,68.78405499,8.252225076,70.2668469
