name,bigram,bigram_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
simulated\CallCenter_ServiceMiner_1.csv,0.038442794,2043.225392,1.521960964,28.32075286,3.262552157,26.22987604,3.327663,303.6269152,3.327663,302.2209721,0.697205113,0.861458063,1.072071356,0.581600905,0.025388791,437.9560511,0.000195271,436.5693879,12.03203649,459.8458319
simulated\CallCenter_ServiceMiner_6.csv,0.038764928,2103.053388,1.853332293,28.05028796,3.636826248,26.40820313,3.797796006,309.524791,3.797796006,309.3795431,0.681731732,0.867319107,1.014607998,0.654532909,0.023872764,453.0325499,0.000186656,454.2580969,11.9349151,462.6997759
simulated\CallCenter_ServiceMiner_3.csv,0.039062439,2057.42302,1.504030281,28.84897017,3.473531981,26.64117599,3.498102649,321.2778642,3.498102649,310.304641,0.706696896,0.723761797,1.081356963,0.59021306,0.027296194,456.9418211,0.000256452,451.2450647,12.14759477,452.683217
simulated\CallCenter_ServiceMiner_9.csv,0.037770524,2012.270121,1.725108672,29.21651697,3.582048008,26.63200498,3.712077887,306.278826,3.712077887,307.9169171,0.712075378,1.110159874,1.04751154,0.76063323,0.024809425,451.5690348,0.000232035,447.6617501,11.97263214,471.3896918
simulated\CallCenter_ServiceMiner_7.csv,0.037828484,2040.116954,1.314430077,28.5647428,2.880319933,27.45161486,2.986975354,308.0942602,2.986975354,308.7228,0.745156606,0.697249174,1.002718017,0.570866823,0.024327902,456.1911533,0.000315302,448.9559124,11.9834298,454.8702238
simulated\CallCenter_ServiceMiner_0.csv,0.038137601,2045.302062,1.638968837,28.32611513,3.321655157,26.15499711,3.363222048,303.079725,3.363222048,301.780622,0.711390243,0.66368103,1.043534681,0.661370754,0.023947521,437.2186692,0.00027416,438.0226781,11.87630036,451.8171401
simulated\CallCenter_ServiceMiner_5.csv,0.038790581,2009.935958,1.776010484,27.82406712,3.631137664,26.35662413,3.727605504,304.194998,3.727605504,302.3546522,0.673883195,0.659389019,0.975775428,0.567004919,0.025664733,437.294709,0.000314165,437.5885518,12.18406608,451.2627521
simulated\CallCenter_ServiceMiner_2.csv,0.039193262,2009.387166,1.693567821,27.56048107,3.509099094,26.16037822,3.573088275,307.155087,3.573088275,302.4723618,0.681502534,0.675585032,1.003326251,0.606940031,0.025215091,437.0561774,0.000269853,437.2866449,12.07448733,451.822572
simulated\CallCenter_ServiceMiner_8.csv,0.037340916,2009.661836,1.907898295,29.54291892,3.773472615,27.39018106,3.90868182,317.7226312,3.90868182,315.7541559,0.714244915,1.461899042,0.997403775,0.629036903,0.024423547,467.1688781,0.000266651,460.3162658,12.11100847,467.529213
simulated\CallCenter_ServiceMiner_4.csv,0.037941488,2107.147703,1.774004138,28.9052248,3.659238017,26.86509585,3.755168845,339.5828459,3.755168845,305.9950089,0.708035692,0.71608901,1.056455369,0.573675156,0.025184309,440.9558709,0.000271744,442.1688051,12.13137721,458.3655689
