name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_arrivals_0.csv.gz,0.040345653,1.980666161,0.029524414,6.695775747,23.58769354,3.472873211,43.97674824,0.044997215,50.042,2.00819993,50.042,0.115167618,0.108991128,0.147072315,0.127903168,0.017624378,0.389215163,0.38040781,0.480105293,0.338667154,7.425,0.281335354
LoanApp\LoanApp_arrivals_1.csv.gz,0.048440066,1.756709814,0.026869334,5.311066151,55.58095302,3.434773684,59.05419484,0.046957254,58.701,2.044421673,58.701,0.125441313,0.083577121,0.148876667,0.09591552,0.015906811,0.257007475,0.439248085,0.294738727,0.336112261,8.234,0.268234968
LoanApp\LoanApp_arrivals_2.csv.gz,0.02617801,1.707949638,0.01717722,5.074390411,32.12907101,3.09983182,34.16224662,0.039762497,33.311,1.887856007,33.311,0.13119936,0.056386181,0.121132374,0.072508799,0.01569438,0.50620662,0.378428698,0.569865643,0.351339102,9.444,0.331997156
LoanApp\LoanApp_arrivals_3.csv.gz,0.034604312,1.777946234,0.027343867,4.987784624,19.61198612,3.255328655,24.00122474,0.049529076,28.206,1.841377974,28.206,0.118980885,0.069298169,0.152648449,0.083744738,0.015882254,0.629738388,0.415434837,0.762644656,0.359530687,12.31,0.312266111
LoanApp\LoanApp_arrivals_4.csv.gz,0.035517524,1.782204628,0.026025685,5.372799397,13.16918046,5.010759115,18.52475304,0.088161469,20.025,2.74801898,20.025,0.150684118,0.082989068,0.158234119,0.103315644,0.024627924,1.012546716,0.583198309,1.044634329,0.610096455,15.696,0.351991892
LoanApp\LoanApp_arrivals_5.csv.gz,0.047613463,1.833557129,0.034973196,5.153569221,28.94647624,3.229702234,33.11293039,0.052612543,30.848,1.779753685,30.848,0.117100239,0.074798397,0.150820255,0.096237648,0,0.571476241,0.40460372,0.605955759,0.328119755,8.861,0.281325102
LoanApp\LoanApp_arrivals_6.csv.gz,0.027629495,1.841180563,0.021635786,4.954731464,82.78610518,3.762833595,91.72462277,0.05114007,88.08,2.255482435,88.08,0.124912977,0.095491154,0.101819038,0.115242567,0.015647173,0.57928457,0.40272665,0.607751688,0.359486103,12.76,0.328137159
LoanApp\LoanApp_arrivals_7.csv.gz,0.049799859,1.943945408,0.033907828,5.246320963,26.48885478,3.521078825,27.02065376,0.068084478,29.179,1.965363503,29.179,0.114136934,0.083926106,0.14231348,0.10149138,0.015721083,0.762079552,0.426066637,0.779387661,0.330682755,16.571,0.295089006
LoanApp\LoanApp_arrivals_8.csv.gz,0.02142396,1.767117262,0.016562675,4.901133537,36.14775761,3.387220383,43.75139575,0.063801527,43.562,2.09649992,43.562,0.113872766,0.065569031,0.200865984,0.077629048,0.015908718,0.564468767,0.39641428,0.591464693,0.390661478,11.552,0.263690948
LoanApp\LoanApp_arrivals_9.csv.gz,0.026963382,1.730818987,0.023026587,4.881043196,38.17638815,3.26654768,38.44679718,0.034867287,41.964,1.940829515,41.964,0.121046066,0.064342066,0.157488585,0.071456423,0.015818834,0.897957822,0.414199829,0.898909891,0.376884222,16.052,0.27798605
