name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_calendars_0.csv.gz,0.024739125,1.762279034,0.02551829,4.987357855,5.648825414,8.233533859,6.300982022,0.040923595,6.24,6.231938362,6.24,0.117738962,3.528919518,0.179188728,3.604300867,0,0.279765083,0.385781288,0.383148722,0.343946934,6.804,0.286950827
LoanApp\LoanApp_calendars_1.csv.gz,0.015225442,1.705773115,0.013932612,5.257397175,6.09483449,8.48237586,6.847957314,0.052150488,6.24,6.276026487,6.24,0.119012594,3.538774509,0.17912221,3.594619137,0.015890598,0.237586759,0.399380445,0.346318025,0.351153374,4.43,0.28764081
LoanApp\LoanApp_calendars_2.csv.gz,0.013743686,1.712032318,0.019673377,5.201442003,5.935464495,8.546275139,6.638426232,0.041533709,6.24,6.339682579,6.24,0.128681183,3.51065235,0.162253141,3.573715896,0.0157547,0.145555259,0.39626503,0.286241454,0.360073805,8.736,0.309831381
LoanApp\LoanApp_calendars_3.csv.gz,0.016256823,1.77489543,0.01552987,5.62693429,6.141550988,8.537631989,6.96665464,0.076834679,6.24,6.423193455,6.24,0.121895552,3.49424066,0.164162159,3.562054052,0.015687943,0.234783769,0.378552675,0.446476374,0.362496138,5.042,0.267623663
LoanApp\LoanApp_calendars_4.csv.gz,0.021769828,1.852626324,0.017429038,4.999547005,7.073812066,8.528547287,7.575602142,0.05714488,6.24,6.290379763,6.24,0.111060381,3.544874638,0.155568838,3.634711579,0.015660524,0.377536038,0.408215523,0.425077972,0.359812498,6.168,0.286067963
LoanApp\LoanApp_calendars_5.csv.gz,0.017058824,1.723667383,0.016071681,5.060013771,6.830686065,8.724170685,7.741317643,0.072925329,6.24,6.515685558,6.24,0.117057562,3.519058751,0.189318657,3.587487357,0.015615225,0.393486385,0.406138897,0.402214431,0.360525608,7.882,0.277569771
LoanApp\LoanApp_calendars_6.csv.gz,0.018145399,1.816034317,0.017851311,5.020226717,6.912840363,8.615005732,7.3652582,0.065182209,6.24,6.360222816,6.24,0.108884573,3.546667324,0.160078764,3.620442508,0.015825033,0.267552056,0.40037632,0.321522303,0.343916416,12.512,0.290927172
LoanApp\LoanApp_calendars_7.csv.gz,0.022498972,1.805830479,0.017615366,4.90644145,6.20335024,8.692441702,7.471638362,0.039921999,6.24,6.289133549,6.24,0.106213808,3.457558823,0.16939497,3.543945224,0.015666485,0.324079018,0.384804249,0.483201938,0.349745035,9.873,0.278801441
LoanApp\LoanApp_calendars_8.csv.gz,0.024957426,1.72313118,0.024316089,4.890615702,6.216364122,8.633643866,6.749515692,0.03718257,6.24,6.387723207,6.24,0.114562988,3.503042829,0.164350271,3.565279363,0.015755892,0.154297918,0.358750582,0.233175553,0.359469891,4.06,0.276464939
LoanApp\LoanApp_calendars_9.csv.gz,0.0229838,1.768134356,0.025741667,5.743643284,5.621729845,8.482189417,8.896245483,0.028196335,6.24,6.386806965,6.24,0.109295607,3.503609483,0.183152676,3.59593638,0.01560545,0.193072611,0.374043941,0.428118208,0.357679367,9.61,0.27181077
