name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_durations_0.csv.gz,0.027937551,1.772115946,0.025847439,5.633485079,2.934663641,2.570891142,4.542933595,0.080816507,0,0.109377623,0,0.10928154,0.065512648,0.153737307,0.077051737,0,5.907901762,0.441688061,6.465242491,0.333919287,183.669,0.292498112
LoanApp\LoanApp_durations_1.csv.gz,0.036492089,1.766252279,0.029105836,4.972346783,4.184663641,2.444575071,10.14485213,0.028038263,0.21,0.145166159,0.21,0.109549761,0.054617083,0.157268763,0.069522312,0.015712738,8.336492258,0.418750763,10.86039059,0.397364855,241.569,0.27800107
LoanApp\LoanApp_durations_2.csv.gz,0.024212077,1.692182779,0.024559885,5.144082785,5.24099039,2.432217836,6.247260948,0.072636366,0.048,0.148771286,0.048,0.109373569,0.047220037,0.146784782,0.061175845,0.010571241,6.343366257,0.370156765,6.356402962,0.343861818,176.098,0.269151926
LoanApp\LoanApp_durations_3.csv.gz,0.018211726,1.739159822,0.016311073,5.107172012,5.999199146,2.555076361,10.62348433,0.046592951,0.131,0.151367903,0.131,0.113343954,0.060469243,0.138261795,0.070922865,0,7.608649226,0.430153131,8.091189203,0.362493515,195.875,0.300069332
LoanApp\LoanApp_durations_4.csv.gz,0.02363775,1.728714705,0.021896802,4.985749483,4.512146289,2.389644146,11.28980592,0.040464401,0.096,0.139826775,0.096,0.125175238,0.043958427,0.136930704,0.054818379,0.015659094,6.700480513,0.388756514,7.495403548,0.32824707,183.23,0.293453693
LoanApp\LoanApp_durations_5.csv.gz,0.030671262,1.81014514,0.023528383,5.067005157,2.561599039,2.505779028,11.60842025,0.058370352,0.081,0.144188404,0.081,0.125021696,0.050683357,0.140235901,0.060635684,0,7.345101442,0.422649145,8.838234944,0.330733776,211.44,0.293834686
LoanApp\LoanApp_durations_6.csv.gz,0.026754874,1.795142412,0.024204821,5.005611658,2.272423919,2.359618902,4.152829922,0.072272062,0.064,0.147637844,0.064,0.109621286,0.038571212,0.14012599,0.037734069,0.01571393,7.738254138,0.424116611,8.928962299,0.359352827,211.311,0.28878808
LoanApp\LoanApp_durations_7.csv.gz,0.025004413,1.788162708,0.019786489,4.977025986,4.17164976,2.580208778,5.707626887,0.058891535,0.08,0.151586533,0.08,0.109518051,0.06512124,0.136654615,0.076147091,0.015738249,6.898691938,0.38873148,7.064430769,0.340760708,192.089,0.263469219
LoanApp\LoanApp_durations_8.csv.gz,0.035432841,1.765280247,0.027986616,4.891758204,2.696876668,2.660666704,10.15687931,0.060305834,0.113,0.136719942,0.113,0.109482765,0.058814899,0.160444498,0.062448136,0,7.266684463,0.446986675,9.499947433,0.331115007,228.274,0.305418015
LoanApp\LoanApp_durations_9.csv.gz,0.014194004,1.792019367,0.016324964,5.164794207,8.311198612,2.480890989,9.018031495,0.037135363,0.081,0.146684408,0.081,0.108968496,0.046043421,0.153811693,0.048930535,0,6.705953017,0.413714647,6.713433905,0.343857765,181.756,0.287305117
