name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_ground_truth_0.csv.gz,0.012785924,1.85492897,0.018532493,4.956524134,2.271890016,2.423199892,3.804440305,0.070734501,0,0.109364271,0,0.109367609,0.041509807,0.154846668,0.042793652,0.01591301,0.11972771,0.396230459,0.372482964,0.368815899,5.08,0.264919519
LoanApp\LoanApp_ground_truth_1.csv.gz,0.014057997,1.699528694,0.016364464,6.532936573,2.231246663,2.473097801,2.557677424,0.047047138,0,0.094974518,0,0.109283686,0.048756986,0.142734528,0.054078599,0.015764952,0.325146823,0.395874262,0.390968025,0.331450939,8.57,0.298783302
LoanApp\LoanApp_ground_truth_2.csv.gz,0.01804758,1.733060837,0.019096639,5.118795872,1.35290977,2.357601881,3.468164986,0.057819128,0,0.125101328,0,0.109280109,0.038831685,0.157036781,0.045824581,0,0.14802456,0.41396594,0.279463996,0.376944542,5.347,0.277883768
LoanApp\LoanApp_ground_truth_3.csv.gz,0.015908555,1.751994848,0.020105556,5.525861263,3.413908169,2.443105221,3.856497019,0.050542593,0,0.125860929,0,0.109361172,0.04656622,0.14888978,0.058039987,0.015663862,0.271356113,0.402172565,0.297084769,0.360047579,6.718,0.294924259
LoanApp\LoanApp_ground_truth_4.csv.gz,0.015669934,1.782377958,0.019121465,5.167579889,2.076882007,2.356126785,3.401888626,0.072273731,0,0.125012398,0,0.109372377,0.042511277,0.143205404,0.054692831,0.015895367,0.256607048,0.404242992,0.349895319,0.328225374,10.086,0.311823845
LoanApp\LoanApp_ground_truth_5.csv.gz,0.019474425,1.776947498,0.025150866,5.018519878,2.675854245,2.480956554,4.702667175,0.067647219,0,0.125012875,0,0.124982119,0.058292552,0.155289412,0.057306424,0.001568317,0.281166578,0.370466709,0.387781765,0.349035978,8.126,0.286632538
LoanApp\LoanApp_ground_truth_6.csv.gz,0.020546742,1.747729778,0.023929579,5.028135061,1.402162306,2.471952915,4.541201802,0.039935112,0,0.125738144,0,0.124991417,0.053883923,0.146477699,0.061951371,0,0.140016017,0.389884233,0.173829426,0.381897211,6.878,0.271835327
LoanApp\LoanApp_ground_truth_7.csv.gz,0.028753241,1.792453766,0.024193615,5.885591269,2.851041111,2.446618795,3.157082921,0.044141293,0,0.124990463,0,0.109287024,0.038426489,0.161505699,0.059267308,0.015745163,0.258742659,0.416146755,0.287137403,0.360273123,9.701,0.279877663
LoanApp\LoanApp_ground_truth_8.csv.gz,0.015337604,1.856827974,0.017226551,4.891488552,2.270955686,2.455703259,3.136931859,0.042704344,0,0.109363317,0,0.109375238,0.04477621,0.143132687,0.050178338,0.015643597,0.148558462,0.398267269,0.274133321,0.343761444,4.811,0.296465874
LoanApp\LoanApp_ground_truth_9.csv.gz,0.026973144,1.730244637,0.026963288,5.605737686,3.384610251,2.418946981,8.359953182,0.062924623,0,0.144163847,0,0.109378338,0.063942752,0.150565147,0.070595125,0.015704632,0.218766684,0.363836765,0.277170249,0.349548817,5.279,0.29902029
