name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_resource_cont_0.csv.gz,0.274964838,1.747153282,0.166856171,4.940646887,10.13447678,2.575019836,17.87778378,0.043346167,0.016,0.145459175,0.016,0.109335661,0.051132127,0.150231123,0.052249117,0.015741825,21.66110518,0.426649332,22.59413968,0.343873978,526.751,0.298578978
LoanApp\LoanApp_resource_cont_1.csv.gz,0.177893933,1.77440691,0.134094262,4.876425266,19.16684463,2.600794792,24.87584774,0.040865898,0.001,0.135903835,0.001,0.109384537,0.054625953,0.153771639,0.056510536,0.015746832,22.96429525,0.430444479,23.45987725,0.340387583,519.424,0.279176712
LoanApp\LoanApp_resource_cont_2.csv.gz,0.274490216,1.749093771,0.169121645,5.029030561,43.98445008,2.976649523,49.17397776,0.037943125,0,0.118865252,0,0.125073671,0.067804683,0.149149656,0.104050837,0,51.93206086,0.405878782,52.71310755,0.361090183,1265.369,0.289142609
LoanApp\LoanApp_resource_cont_3.csv.gz,0.163786008,1.790825844,0.125495851,4.960915089,23.54144421,2.701037407,27.23228329,0.051513195,0.08,0.148654938,0.08,0.125999928,0.060779891,0.142532825,0.071323883,0,25.92245061,0.440736771,26.28725803,0.344579697,621.361,0.304111958
LoanApp\LoanApp_resource_cont_4.csv.gz,0.245285236,1.74454236,0.158031831,4.963573694,20.81480246,2.731000423,26.16581056,0.034603834,0.082,0.14759016,0.082,0.109472513,0.059848141,0.154953241,0.076469149,0.015698195,23.76581687,0.413543701,24.18517076,0.328230858,546.962,0.289950609
LoanApp\LoanApp_resource_cont_5.csv.gz,0.168501171,1.766584158,0.131181313,5.063446999,27.18766684,2.954621792,41.31604916,0.037183285,0,0.124736786,0,0.099535704,0.058725234,0.163583279,0.062751605,0.015744686,45.88194074,0.439176321,47.26962188,0.378243923,1092.177,0.286851168
LoanApp\LoanApp_resource_cont_6.csv.gz,0.218209444,1.792816877,0.140282096,4.914749622,9.942004805,2.632236481,27.94769367,0.040961504,0,0.109381676,0,0.125004053,0.064628643,0.124352694,0.060425792,0,22.59390016,0.436634541,23.8177193,0.367805719,562.44,0.312387228
LoanApp\LoanApp_resource_cont_7.csv.gz,0.216266823,1.811062574,0.142077211,5.656800747,9.112520021,2.561772346,21.48309519,0.071701765,0.033,0.159524441,0.033,0.117007971,0.051327154,0.14055109,0.050748492,0.016000509,19.6195275,0.390195847,20.58501336,0.359498024,479.936,0.27400589
LoanApp\LoanApp_resource_cont_8.csv.gz,0.255534621,1.785737753,0.165212626,4.934274197,34.97510678,2.808404446,34.97510678,0.06249094,0.032,0.143522263,0.032,0.125482798,0.092012712,0.153050661,0.117636034,0.015762568,38.30932995,0.433603287,38.30932995,0.335585594,899.004,0.289373159
LoanApp\LoanApp_resource_cont_9.csv.gz,0.268982514,1.771242142,0.165239899,4.958709002,37.83929525,2.647959232,46.06136186,0.057933807,0.034,0.150419474,0.034,0.118077993,0.05965183,0.180074692,0.056070329,0.015885592,43.94674319,0.469754219,44.80466704,0.343307734,1081.066,0.288432598
