name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_seq_0.csv.gz,0.33808626,1.754564285,0.194587985,4.910851955,3.212359851,2.515551329,3.782342413,0.068005085,0,0.104090929,0,0.108627081,0.072882053,0.185512781,0.082822677,0.00948,2.432728243,0.410166979,2.443843094,0.362048149,38.511,0.283447027
LoanApp\LoanApp_seq_1.csv.gz,0.342850429,1.795459747,0.199544383,5.063506603,3.454551522,2.458950281,5.013220742,0.071054697,0,0.141274452,0,0.125005007,0.059933887,0.144846678,0.074058951,0.015721083,1.864655633,0.4033916,2.169276852,0.366846323,39.42,0.302504301
LoanApp\LoanApp_seq_2.csv.gz,0.33989509,1.777524233,0.195139683,5.597259998,2.484183129,2.452118158,2.95348252,0.049082279,0,0.10937047,0,0.109984636,0.052754712,0.15674305,0.057994096,0.015733719,1.927989856,0.410015106,1.942595491,0.359470129,35.916,0.298656464
LoanApp\LoanApp_seq_3.csv.gz,0.339562764,1.71029973,0.193881566,5.019932985,2.512680192,2.45215106,3.301279437,0.059175491,0,0.119539499,0,0.125537634,0.058873867,0.140169859,0.074001206,0.016242743,2.021489589,0.380092144,2.291683981,0.360942602,43.66,0.278356075
LoanApp\LoanApp_seq_4.csv.gz,0.344214344,1.800862074,0.197894924,4.976207495,2.334356647,2.479743481,5.851534612,0.046755314,0,0.125000238,0,0.110473871,0.056363822,0.160372972,0.069448998,0.015720844,1.488854778,0.409214258,2.360885005,0.354986191,44.143,0.294329643
LoanApp\LoanApp_seq_5.csv.gz,0.345189881,1.789747238,0.199242244,4.954240322,2.18966898,2.565416813,4.120888488,0.066625357,0,0.109367132,0,0.109289408,0.045923735,0.157720804,0.056303471,0,1.44527496,0.380351067,1.868550797,0.360376835,38.51,0.284569025
LoanApp\LoanApp_seq_6.csv.gz,0.343169975,1.751065731,0.195882468,4.952348232,1.979111052,2.452342033,6.178284375,0.079945326,0,0.124992132,0,0.109364033,0.039472267,0.157620192,0.036405041,0.015706301,1.568873465,0.395941734,2.315063496,0.408178568,39.771,0.291409969
LoanApp\LoanApp_seq_7.csv.gz,0.3502164,1.737221956,0.203801948,4.963599205,2.637413241,2.478717566,5.606205336,0.070183039,0,0.109258413,0,0.125087738,0.034704996,0.148586512,0.03874291,0.015822649,1.692004805,0.383041859,2.588280843,0.387500763,48.741,0.282124043
LoanApp\LoanApp_seq_8.csv.gz,0.340725097,1.736948729,0.194107395,4.973113537,2.807794981,2.47995615,4.7115206,0.040619373,0,0.10936904,0,0.109376431,0.071677715,0.155661106,0.083186828,0.015647888,2.420381741,0.394715786,2.916236749,0.383206367,53.562,0.289921045
LoanApp\LoanApp_seq_9.csv.gz,0.338800071,1.781154394,0.19723414,4.932074547,2.156967432,2.425607443,3.291758866,0.03188467,0,0.109935284,0,0.125006437,0.05479549,0.149304152,0.064937017,0.015883446,2.236518954,0.424918413,2.266304552,0.362335443,41.53,0.305994272
