name,bigram,bigram_runtime,cfld,cfld_runtime,absolute_emd,absolute_emd_runtime,absolute_wass,absolute_wass_runtime,case_arrival_emd,case_arrival_emd_runtime,case_arrival_wass,case_arrival_wass_runtime,circadian_emd,circadian_emd_runtime,circadian_wass,circadian_wass_runtime,relative_emd,relative_emd_runtime,relative_wass,relative_wass_runtime,cycle_time_wass,cycle_time_wass_runtime
LoanApp\LoanApp_seq_gat_0.csv.gz,0.455956419,1.784356833,0.317611703,5.279963493,30.52949813,8.407187223,560.7598646,0.046871185,0,0.124992132,0,0.109546661,0.236588595,0.015753984,0.068255048,0.015587568,219.777496,0.852618456,556.1932141,0.382307529,7222.149,0.291418791
LoanApp\LoanApp_seq_gat_1.csv.gz,0.453133038,1.727656364,0.318270229,5.118416786,43.16077149,8.200678587,551.0780003,0.090085745,0,0.110094547,0,0.121171713,0.233955533,0,0.055931089,0.031168461,232.3084624,0.841527224,548.1895224,0.363617659,7293.48,0.290881395
LoanApp\LoanApp_seq_gat_2.csv.gz,0.462737407,1.766560078,0.323107302,5.129532337,39.36338761,8.59914279,543.6382063,0.065509796,0,0.124908447,0,0.109377146,0.229414924,0.031284332,0.073744333,0.015587568,231.5696743,0.911816597,542.2469383,0.372037411,7104.455,0.267427206
LoanApp\LoanApp_seq_gat_3.csv.gz,0.453982985,1.74388814,0.308885748,5.196056128,18.78436999,7.98089385,525.87372,0.051990747,0,0.124994993,0,0.109358549,0.230587371,0.015640497,0.056386535,0.015636444,200.6290043,0.864312887,530.6775538,0.404191017,6692.343,0.307537556
LoanApp\LoanApp_seq_gat_4.csv.gz,0.466139143,1.778024912,0.328791191,6.871219158,61.37913775,9.03215766,601.6458089,0.056868553,0,0.109389782,0,0.109357834,0.237163543,0.015548944,0.069344836,0.015703678,256.7950481,0.841047525,610.639076,0.358500481,8130.278,0.26249814
LoanApp\LoanApp_seq_gat_5.csv.gz,0.461889384,1.819764137,0.323727334,5.223608494,55.74619594,8.753321409,603.299437,0.047794104,0,0.109268665,0,0.11616087,0.241222049,0.015711784,0.040303845,0,243.1369461,0.890266418,602.337604,0.37593317,7808.57,0.278316498
LoanApp\LoanApp_seq_gat_6.csv.gz,0.457832552,1.775332928,0.318450724,6.041411877,43.41077149,9.028437853,632.5735197,0.06623745,0,0.10935688,0,0.12872076,0.254070908,0.044072628,0.053893282,0.015526772,233.6842632,1.005167961,640.8092761,0.395015717,8213.547,0.279634714
LoanApp\LoanApp_seq_gat_7.csv.gz,0.452904681,1.779755592,0.316056796,5.228878498,46.12132942,8.168420315,585.5757022,0.08523345,0,0.127679825,0,0.109374046,0.241431167,0.015548468,0.088975551,0.015701771,244.6044447,0.924156189,598.2254775,0.357333422,7952.582,0.293018103
LoanApp\LoanApp_seq_gat_8.csv.gz,0.454917823,1.7967906,0.313859653,5.201848745,41.14749066,8.418502808,579.4498637,0.065176249,0,0.118709803,0,0.124984264,0.243672214,0.01563096,0.053977481,0.031148911,227.5251602,0.840517282,584.007408,0.377368927,7488.408,0.279823542
LoanApp\LoanApp_seq_gat_9.csv.gz,0.45989631,1.735531807,0.323329639,5.10894537,62.06687133,9.838884354,676.5515155,0.084152222,0,0.128715277,0,0.125170946,0.256401336,0.015738964,0.08645951,0.031236172,263.6139883,1.16999054,676.4221618,0.377822399,8765.497,0.293241501
